Grocery Stores,Food Outlets,Tourist Destinations,Hotels,Educational Institutions,Hospitals,Airports,Residential Housing Density,Commercial Housing Density,Fuel Stations & Car Wash,Apparels,Height Restrictor,Border Zone,Public Transportation,latitude,longitude,radius_miles
0,42,0,3,2,0,0,138,96,0,0,0,0,0,42.946616,-85.5552892,3
0,47,0,2,5,14,3,59,51,0,0,0,0,0,42.9284817,-85.6983364,3
0,27,0,1,2,0,1,17,14,0,0,0,0,0,42.9209197,-85.7247029,3
0,31,0,2,2,0,2,44,23,0,0,0,0,0,42.6793129,-83.230233,3
0,20,0,0,1,0,1,154,7,0,0,0,0,0,42.560141,-82.9639572,3
0,45,0,0,2,1,0,163,18,0,0,0,0,0,42.5646324,-83.0498554,3
0,12,0,0,2,1,1,172,8,0,0,0,0,0,42.6095123,-83.0521629,3
0,17,0,0,2,0,0,208,9,0,0,0,0,0,42.5747848,-82.988203,3
0,26,0,0,3,5,2,271,18,0,0,1,0,0,42.4792069,-82.9808374,3
0,44,0,0,2,1,2,220,29,0,0,0,0,0,42.508749,-82.9587266,3
0,20,1,0,2,0,0,150,12,0,0,0,0,0,42.4797927,-82.926549,3
0,23,0,0,2,5,2,227,16,0,0,0,0,0,42.4798206,-82.9677575,3
0,31,0,0,2,0,0,223,16,0,0,0,0,0,42.4870286,-82.9387815,3
0,30,0,0,3,6,2,281,26,0,0,1,0,0,42.4775149,-83.0465282,3
0,12,1,0,1,0,0,99,5,0,0,0,0,0,42.4807456,-82.888806,3
0,10,1,0,2,0,0,74,1,0,0,0,0,0,42.4603397,-82.8824212,3
0,44,0,0,3,0,1,190,22,0,0,0,0,0,42.5026973,-82.9341454,3
0,24,0,0,1,0,0,103,10,0,0,0,0,0,42.575737,-83.011066,3
0,47,0,0,4,5,0,260,50,0,0,0,0,0,42.4911898,-83.084579,3
0,23,0,0,4,2,2,273,19,0,0,1,0,0,42.4704961,-83.0264698,3
0,15,1,0,1,6,1,141,10,0,0,0,0,0,42.4554896,-82.9130343,3
0,57,0,0,4,1,1,225,24,0,0,0,0,0,42.5218424,-83.0084982,3
