name,latitude,longitude,driving_distance,distance_to_nearest_motorway,traffic_aadt,grocery_stores,food_outlets,tourist_destinations,hotels,educational_institutions,hospitals,airports,residential_housing_density,commercial_housing_density,fuel_stations_and_car_wash,apparels,visits
Meijer,42.2313254,-83.19611,2.3,7,4428,223,160,1,6,118,122,3,1190,106,127,65,54483
Meijer,42.5475731,-83.4423379,3.5,6,27250,73,148,37,5,45,34,6,1740,166,43,80,32557
Meijer,42.9087181,-82.4977874,11,17,4973,24,19,2,0,12,7,4,0,23,20,0,42888
Meijer,42.8406115,-83.2710286,13.7,21,24023,13,16,0,0,15,4,4,1,11,9,0,48258
Meijer,41.9448794,-83.3993871,6.6,11,7800,39,32,1,0,33,10,3,98,15,31,4,37653
Meijer,42.6301282,-82.9767326,2.9,7,5531,89,56,0,2,62,37,3,809,23,62,11,37147
Meijer,43.0461111,-82.46,3.5,8,7477,20,25,1,1,10,6,2,3,6,14,9,41826
Meijer,42.3193573,-83.4845161,2.3,8,14336,87,87,1,6,57,30,3,2283,55,50,6,41261
Meijer,42.5229734,-83.0972961,3.8,8,26788,245,306,39,14,117,69,4,1387,244,148,30,38693
Meijer,42.6511837,-83.5314996,17.1,26,715,26,8,7,0,23,6,1,1,15,15,2,39748
Meijer,42.946392,-83.7283822,4.5,8,22775,61,60,0,0,17,12,5,32,37,49,23,37515
Meijer,42.5234952,-82.9059331,0.4,3,3517,179,57,1,0,65,37,2,295,30,106,5,38693
Meijer,42.5511714,-82.9637671,4.1,11,21112,200,89,0,0,107,45,4,625,59,125,7,41163
Meijer,42.5965708,-82.9034509,2.8,9,37683,133,69,36,2,64,40,11,484,30,82,10,40246
Meijer,42.5901834,-83.8768548,0.8,3,5466,24,20,0,2,17,7,6,169,137,18,2,40246
Meijer,43.2836138,-86.2205876,2.2,6,2952,30,20,11,1,24,9,3,79,22,25,1,40618
Meijer,43.1926956,-86.2616285,3.3,8,13943,56,57,4,1,35,13,6,213,90,40,2,33589
Meijer,42.969485,-85.6649995,1.1,5,7376,102,173,0,4,137,46,7,305,141,75,13,35264
Meijer,43.0018429,-84.1158384,8.7,14,6777,15,13,0,0,8,4,5,301,97,13,1,42491
Meijer,42.9683953,-83.8273626,0.9,3,8374,25,31,0,0,2,3,3,0,68,22,21,35264
Meijer,43.0144171,-83.5526638,0.5,2,6474,35,31,0,0,18,5,3,207,12,27,4,42672
Meijer,43.048889,-85.6901268,10.1,13,38441,43,43,0,0,29,7,0,53,39,37,2,41826
Meijer,42.5387281,-83.7885083,0.9,4,7573,18,24,1,3,11,7,3,14,12,15,3,36046
Meijer,42.7056432,-83.2871766,0.7,3,30757,78,58,1,2,76,21,2,34,30,50,12,40827
Meijer,43.4701759,-85.9815419,26.9,32,2663,10,5,0,0,4,2,2,5,0,8,0,21787
Meijer,43.041515,-83.325778,1.2,4,24485,14,13,0,0,6,3,3,4,1,11,2,41826
Meijer,42.653337,-83.3689422,10.1,19,34540,104,75,5,0,58,26,10,50,34,65,11,39748
Meijer,42.7225189,-82.7418136,0.8,3,2316,21,8,0,1,11,7,2,29,8,20,0,30859
Meijer,42.7660815,-83.2388282,5,8,29066,30,35,1,0,28,10,0,1,13,20,0,48180
Meijer,42.4800943,-82.9885699,1.8,6,132636,277,95,0,0,152,53,5,588,72,179,18,37680
Meijer,42.9155199,-85.5335267,0.5,3,31137,42,65,1,3,41,7,5,251,142,29,16,48907
