StoreID,latitude,longitude,visits,Grocery_Stores_1mile,Food_Outlets_1mile,Educational_Institutions_1mile,Residential_Housing_1mile,Commercial_Housing_1mile,Fuel_Stations_Car_Wash_1mile,Hospitals_3miles,Apparels_3miles,Tourist_Destinations_5miles,Hotels_5miles,Airports_5miles,City,State,County,Census Tract Code,Census Block Code,Household_Income_Under50k,Household_Income_50to100k,Household_Income_100to200k,Household_Income_200k+,Median_Age,Population_Male_Under15,Population_Male_15to64,Population_Male_65+,Population_Female_Under15,Population_Female_15to64,Population_Female_65+,driving distance to nearest motorway (in miles),duration to nearest motorway (in mins),Traffic (AADT)
206,42.17031144,-88.33847774,23875,16,38,2,56,7,9,14,17,0,2,6,Algonquin,IL,McHenry County,871206,4015,94,152,324,219,35.3,55,366,91,163,273,125,12.4,19,
207,40.51255401,-88.94647135,36077,15,38,2,8,17,12,31,18,10,4,6,Normal,IL,McLean County,504,1021,424,676,253,67,40.2,212,901,134,235,973,258,1.7,4,
208,42.23199708,-83.19630222,31750,15,19,10,52,1,13,89,19,20,6,3,Lincoln Park,MI,Wayne County,577800,3015,190,166,49,0,37.6,294,855,234,43,914,440,2.3,7,4428.0
209,42.82911435,-84.53700652,29894,5,8,0,0,5,3,2,0,2,2,6,Dewitt,MI,Clinton County,10104,2023,89,108,63,8,51.0,93,260,114,164,385,163,6.3,10,1035.0
210,42.73816531,-84.74158761,30794,6,11,0,19,9,7,5,1,1,5,2,Grand Ledge,MI,Eaton County,20404,1005,491,118,82,51,62.9,167,475,126,163,530,147,4.9,10,8902.0
211,41.5470039,-83.58876923,27568,10,25,0,24,18,11,10,13,3,4,3,Perrysburg,OH,Wood County,20701,1095,146,127,18,0,61.5,109,249,130,149,402,86,3.2,9,10622.0
212,39.98825484,-82.78807133,27200,8,6,2,164,2,5,4,3,2,3,6,Reynoldsburg,OH,Franklin County,7302,2018,109,772,434,0,38.1,57,171,71,45,159,74,4.9,14,17418.0
213,43.25293912,-83.76539923,32446,7,22,0,0,2,6,0,48,1,1,1,Birch Run,MI,Saginaw County,13100,3007,111,65,53,16,48.6,74,563,210,89,520,211,11.1,13,3282.0
214,41.63492532,-88.19976449,23785,5,5,0,0,0,2,9,1,0,6,1,Plainfield,IL,Will County,880411,1033,119,136,405,114,35.5,168,154,106,86,169,74,2.5,7,
215,41.72126731,-88.03578226,27571,8,28,2,20,2,12,10,7,1,11,7,Woodridge,IL,Will County,880117,1000,43,24,90,31,35.2,53,276,170,132,265,173,0.7,3,
216,42.96999411,-85.77911911,54147,4,26,0,33,6,6,1,1,1,1,2,Grand Rapids,MI,Kent County,11702,1016,137,244,291,52,31.5,76,499,112,52,566,100,4.0,9,2486.0
217,42.82889801,-86.09050629,40788,10,34,1,0,3,3,4,19,4,6,0,Holland,MI,Ottawa County,23102,4003,353,298,59,0,31.4,110,809,173,271,678,319,2.0,5,11396.0
218,42.35991135,-88.27086195,27717,11,27,2,15,1,7,5,5,2,2,3,McHenry,IL,McHenry County,870604,2009,360,284,231,175,41.5,46,539,177,114,551,140,10.8,17,
219,41.63121453,-87.92778295,23866,7,28,1,4,1,6,4,1,2,1,1,Homer Glen,IL,Will County,881011,2000,179,122,279,44,37.2,40,318,82,147,437,160,14.7,18,
220,38.34927,-85.79309915,32995,4,9,2,0,0,3,5,2,4,0,3,New Albany,IN,Floyd County,71005,3006,108,133,101,11,38.2,101,657,110,123,619,193,7.5,14,4728.0
221,42.87970736,-85.74861374,36339,11,30,1,13,8,5,10,14,1,3,4,Grandville,MI,Kent County,13200,4020,291,307,301,0,47.8,0,294,49,91,404,205,9.5,13,28756.0
222,42.52302559,-83.09738035,33525,22,26,5,80,4,11,22,5,46,14,4,Madison Heights,MI,Oakland County,181001,5000,105,104,10,0,57.6,134,1090,204,219,1132,348,3.9,8,26788.0
223,39.19463749,-84.65766588,28197,2,4,1,522,3,4,5,0,2,0,3,Cincinnati,OH,Hamilton County,20604,3000,195,202,30,0,37.3,0,420,51,10,264,211,0.9,4,44916.0
224,39.16162668,-84.42778835,15051,9,38,2,2309,31,9,15,33,45,2,10,Cincinnati,OH,Hamilton County,27600,1013,239,436,158,29,29.7,92,554,104,244,586,133,3.7,8,10974.0
227,42.65176541,-83.53182334,22089,4,2,1,0,8,2,3,1,7,0,1,White Lake,MI,Oakland County,130100,2008,118,154,141,58,40.5,0,289,98,8,138,242,17.1,26,715.0
228,42.04792647,-87.99627523,22486,8,21,1,4,8,28,10,8,7,38,7,Rolling Meadows,IL,Cook County,805107,2008,165,301,67,0,35.5,30,565,229,34,514,191,1.7,5,
229,42.90882985,-82.49728907,39864,7,11,4,0,0,7,6,0,2,0,4,Marysville,MI,St. Clair County,637200,2001,74,213,72,9,39.3,0,302,159,20,172,351,10.9,16,4973.0
230,40.0353005,-85.99136509,32768,13,21,0,6,0,11,11,2,2,0,9,Noblesville,IN,Hamilton County,110513,3030,341,227,545,610,40.1,197,1102,22,394,1387,45,1.2,4,29564.0
231,42.50014987,-83.28234832,32541,3,15,0,140,13,3,6,4,7,1,6,Southfield,MI,Oakland County,160800,3000,113,108,14,117,31.2,58,189,122,37,236,129,0.9,3,25548.0
232,43.15651478,-86.20192006,44781,4,18,0,0,18,3,1,0,1,0,5,Muskegon,MI,Muskegon County,2800,1001,274,308,125,22,54.8,102,822,224,229,796,374,0.5,3,9222.0
233,42.27884594,-83.20417661,44011,15,29,16,41,1,5,43,14,15,6,3,Allen Park,MI,Wayne County,981902,1005,0,0,0,0,0.0,123,626,216,88,690,221,3.5,7,3057.0
234,39.83663068,-83.08072682,25512,4,14,0,0,6,4,9,2,1,5,2,Grove City,OH,Franklin County,9751,2024,147,180,361,95,47.4,383,1112,76,336,1052,131,0.5,3,23528.0
235,40.22815059,-83.33699678,20117,5,13,0,70,4,4,5,0,0,0,2,Marysville,OH,Union County,50602,1041,338,381,191,0,36.4,72,397,146,138,327,200,1.5,4,42119.0
236,44.77059826,-85.47697494,23342,1,1,0,20,0,1,0,0,9,1,1,Williamsburg,MI,Grand Traverse County,550102,3047,122,219,120,37,45.5,111,710,221,236,712,272,31.7,36,14134.0
237,42.5098673,-83.04942131,37197,8,7,0,1,4,6,20,5,8,10,2,Warren,MI,Macomb County,261000,1022,482,455,225,71,47.1,28,538,45,104,760,131,1.2,3,13783.0
239,41.69944996,-88.31054192,27198,9,41,3,34,1,5,5,8,2,3,2,Oswego,IL,Kendall County,890103,2010,42,391,384,113,33.5,93,503,147,88,485,236,12.6,22,
240,39.25101843,-84.6037783,21478,12,50,1,1445,16,4,6,30,2,0,5,Cincinnati,OH,Hamilton County,20701,1002,92,25,67,0,40.5,209,850,297,184,1052,357,4.7,8,79410.0
241,39.86892051,-84.10329559,27061,4,3,1,18,0,4,1,0,1,7,5,Dayton,OH,Montgomery County,100102,2007,109,354,142,15,43.0,98,531,39,115,449,43,0.6,3,5619.0
242,42.72259905,-82.74123349,27339,5,2,1,0,0,4,3,0,0,0,2,Lenox,MI,Macomb County,218002,1022,208,295,20,0,38.9,92,252,66,180,301,50,0.8,3,2316.0
244,43.01482642,-83.55250666,36351,3,8,0,151,0,4,3,4,2,0,3,Davison,MI,Genesee County,11611,2000,314,183,19,0,30.8,430,886,54,480,1404,100,0.7,3,6474.0
245,42.63873511,-83.74429665,26757,6,20,2,0,10,3,2,0,18,0,5,Hartland,MI,Livingston County,713100,2010,139,310,189,100,47.1,140,871,167,157,623,165,0.7,3,7107.0
246,39.84924555,-82.77722418,28556,2,6,0,0,6,1,5,1,2,0,2,Canal Winchester,OH,Fairfield County,33000,1027,176,346,293,193,48.1,177,483,265,124,446,348,0.9,4,7912.0
247,40.08606269,-88.18734937,26112,4,7,2,10,7,3,18,4,4,6,6,Urbana,IL,Champaign County,5602,1005,570,159,152,72,30.5,44,1016,95,155,992,87,5.6,13,
248,43.21716682,-85.57921385,28854,5,12,0,0,1,3,1,0,0,0,2,Cedar Springs,MI,Kent County,10302,3041,320,251,431,23,37.4,102,212,117,54,374,340,0.6,2,10001.0
249,40.2902389,-83.03184598,19487,4,3,0,10,3,2,3,2,0,1,5,Delaware,OH,Delaware County,12200,1000,373,537,183,42,40.2,119,373,90,107,447,123,4.6,10,2706.0
250,45.02452013,-84.72333364,23673,5,3,0,0,0,4,4,0,0,1,3,Gaylord,MI,Otsego County,950300,1089,593,269,26,14,51.5,58,570,74,115,685,152,1.9,5,13096.0
251,42.02596364,-86.51614543,39272,8,12,1,0,0,7,1,0,0,0,1,Stevensville,MI,Berrien County,1400,3013,267,227,151,22,50.3,116,949,107,293,852,99,3.2,6,2091.0
253,42.77391533,-84.41764431,27494,4,2,1,0,2,4,4,0,5,3,0,East Lansing,MI,Clinton County,11106,1005,161,227,156,88,37.8,93,312,149,89,428,299,0.8,5,15522.0
254,42.84274961,-85.86413777,29153,8,9,0,0,0,10,0,0,2,0,5,Hudsonville,MI,Ottawa County,23001,2026,138,282,381,65,30.8,18,120,227,35,157,247,14.7,16,1808.0
256,39.71272119,-86.38366177,27939,8,19,4,1,3,4,4,14,4,0,11,Plainfield,IN,Hendricks County,210802,4003,222,208,141,181,35.7,34,285,33,36,263,48,6.9,13,2365.0
257,45.34676868,-84.96438835,27146,4,3,1,45,4,2,13,6,1,0,0,Petoskey,MI,Emmet County,970800,5015,421,262,30,0,39.0,151,105,0,65,180,34,27.6,32,5952.0
258,37.73807385,-84.33374968,35456,5,16,0,133,11,6,2,1,2,0,1,Richmond,KY,Madison County,10702,3006,20,89,105,20,46.3,56,658,188,142,497,287,0.5,3,
259,42.96824312,-83.82682982,28676,5,7,1,0,22,5,1,4,0,0,3,Swartz Creek,MI,Genesee County,12702,1020,331,303,69,55,43.2,75,1760,119,135,328,238,0.8,3,8374.0
260,42.6434586,-83.20602459,23192,4,8,10,4,2,3,5,15,6,3,5,Rochester,MI,Oakland County,194500,2001,0,0,0,0,0.0,112,500,91,47,422,181,2.7,7,24642.0
262,41.60472957,-87.79085086,20173,8,20,1,30,1,7,7,0,1,12,3,Orland Park,IL,Cook County,824508,1018,298,145,170,54,57.6,81,1014,191,267,660,297,5.1,11,
265,41.72463607,-87.68551938,19832,20,28,10,6,7,9,28,5,5,20,4,Evergreen Park,IL,Cook County,821600,3034,313,321,348,15,33.1,115,726,196,354,648,125,3.8,13,
266,41.55285106,-87.18101759,31343,7,12,0,0,1,4,3,0,4,7,3,Portage,IN,Porter County,50506,2010,215,156,316,3,33.8,112,154,44,93,408,11,2.8,7,3916.0
267,41.26016968,-85.84124328,25460,4,13,0,0,0,4,5,3,3,4,6,Warsaw,IN,Kosciusko County,962000,3002,275,171,83,22,54.6,112,580,36,38,647,49,34.0,44,1690.0
268,42.44431634,-83.11923713,41264,13,11,3,6,21,9,23,11,49,2,2,Highland Park,MI,Wayne County,508000,2005,0,0,0,0,0.0,41,424,37,93,407,36,2.5,8,5676.0
269,40.18762102,-87.62628859,34860,4,9,0,0,0,1,0,0,1,0,4,Danville,IL,Vermilion County,1200,1019,412,193,66,13,63.1,0,170,105,0,128,104,6.5,15,
270,43.39830115,-84.66244093,34160,9,14,2,0,0,6,3,0,1,0,1,Alma,MI,Gratiot County,500,1006,405,108,24,0,53.6,0,431,225,106,434,386,1.2,4,2449.0
271,42.40650877,-86.25644744,22851,11,20,1,27,66,8,4,0,2,0,5,South Haven,MI,Van Buren County,10500,3036,439,95,150,0,62.3,86,483,26,61,362,41,3.1,4,3251.0
272,36.95645049,-86.43775717,24250,7,5,3,103,0,4,18,1,4,5,6,Bowling Green,KY,Warren County,10600,3012,413,179,85,18,44.8,64,997,285,126,928,289,3.0,12,
273,41.49946857,-87.8902725,26476,5,8,0,0,3,3,6,2,3,3,1,Frankfort,IL,Will County,883515,1023,124,73,181,168,39.6,58,170,0,62,296,28,11.9,19,
274,43.31418444,-87.92193318,23284,8,4,1,0,1,2,3,0,0,0,6,Grafton,WI,Ozaukee County,640201,2010,110,40,175,98,39.6,130,432,132,107,408,89,1.1,4,
275,43.11025899,-88.24282885,20143,1,0,0,0,1,1,3,0,0,2,8,Pewaukee,WI,Waukesha County,203304,3001,22,27,178,64,36.0,235,507,172,101,435,251,3.3,7,
276,42.98611041,-88.21945741,19207,10,16,1,0,6,5,3,3,0,2,4,Waukesha,WI,Waukesha County,202103,1035,74,332,316,124,43.7,138,734,19,96,486,126,5.1,13,
277,43.07331142,-88.05083219,24463,7,32,7,17,8,2,23,55,26,5,6,Milwaukee,WI,Milwaukee County,90300,1007,179,141,151,23,35.5,132,387,179,108,695,179,2.4,6,
278,42.11068633,-83.28940068,29114,7,19,3,32,1,6,7,2,4,0,3,Flat Rock,MI,Wayne County,599001,2013,192,266,104,70,38.5,12,117,175,0,171,164,5.4,12,8335.0
279,44.26685976,-86.29527868,20976,4,2,0,0,1,3,4,1,2,2,5,Manistee,MI,Manistee County,400,3026,235,177,26,0,52.4,24,251,58,140,246,107,37.0,43,886.0
280,41.53050595,-87.71056583,23164,4,5,1,0,1,4,10,2,1,17,3,Flossmoor,IL,Cook County,829902,3042,46,599,180,116,50.6,99,329,93,14,361,75,2.6,6,
281,42.36828081,-89.01144049,34605,6,12,0,0,10,2,6,0,2,1,2,Machesney Park,IL,Winnebago County,3805,2028,280,420,399,71,41.5,206,848,201,217,631,252,6.9,11,
282,45.05880275,-83.47492318,24738,6,5,3,22,9,3,16,7,8,1,4,Alpena,MI,Alpena County,700,2000,360,153,47,0,48.9,99,863,14,17,89,96,79.4,1,13567.0
283,42.89851314,-87.91480456,26073,9,25,4,46,6,6,9,0,3,10,15,Oak Creek,WI,Milwaukee County,160203,3010,527,532,118,0,28.8,119,529,154,166,462,300,1.3,5,
284,42.56384538,-87.88524427,32299,5,16,1,0,2,3,10,1,6,10,6,Kenosha,WI,Kenosha County,2500,1007,277,297,206,107,48.0,222,625,97,233,885,56,3.7,8,
285,39.44255387,-87.32994989,27796,6,10,1,38,1,7,3,4,7,9,6,Terre Haute,IN,Vigo County,10602,1020,558,436,334,74,30.9,239,787,160,146,781,99,0.8,4,1929.0
286,42.4120478,-83.25275099,33732,15,15,5,187,48,14,21,9,7,0,5,Detroit,MI,Wayne County,543200,2001,104,46,18,0,35.7,32,829,101,40,397,143,2.7,8,2380.0
287,38.00027328,-87.49571396,33755,4,19,1,0,19,3,15,3,6,2,9,Evansville,IN,Vanderburgh County,204,1003,392,130,57,13,24.9,25,397,81,0,191,122,3.3,8,25343.0
288,37.75570761,-87.07564577,24524,4,13,2,76,0,0,7,3,0,0,4,Owensboro,KY,Daviess County,401,1000,110,256,95,48,30.7,31,410,57,113,326,76,0.4,2,
289,42.3815816,-88.06602661,30393,11,18,1,0,3,3,5,1,2,1,5,Round Lake Beach,IL,Lake County,861202,1031,229,213,255,99,38.2,9,527,87,118,374,147,7.5,15,
290,39.85338819,-86.12425445,26850,10,19,9,68,29,1,10,10,2,1,3,Indianapolis,IN,Marion County,321700,3017,345,121,216,27,52.3,66,496,44,220,707,53,4.6,13,5174.0
291,41.78654775,-85.42454648,26937,9,6,2,1,4,7,8,0,1,3,4,Sturgis,MI,St. Joseph County,40600,1011,456,184,87,0,34.5,121,497,117,125,461,117,2.3,5,4543.0
292,42.96125035,-87.98635487,33026,3,5,2,5,1,5,17,8,8,12,15,Milwaukee,WI,Milwaukee County,120400,3012,137,239,152,13,48.4,442,1374,59,433,1274,46,0.3,2,
293,46.46557575,-84.38770668,26208,8,5,0,0,1,5,6,2,8,4,3,Dafter,MI,Chippewa County,970500,3009,161,50,53,6,37.5,105,621,173,155,503,141,1.7,5,2005.0
294,45.7517359,-87.08671772,24364,14,31,5,146,8,12,12,10,2,0,4,Escanaba,MI,Delta County,970500,2036,309,236,155,40,57.7,88,659,65,107,849,140,61.4,1,2111.0
295,39.5054775,-86.07334124,21220,2,9,1,0,4,3,4,0,1,0,4,Franklin,IN,Johnson County,610802,1060,331,433,201,0,29.0,141,806,191,144,532,265,10.9,17,105158.0
296,39.88538679,-85.93536867,32182,1,1,0,6,1,1,2,0,1,0,4,McCordsville,IN,Hancock County,410201,3035,185,562,255,127,45.0,12,226,255,98,304,340,5.7,11,16860.0
297,41.472435,-87.01869004,34690,7,23,0,14,4,5,13,4,5,3,2,Valparaiso,IN,Porter County,51009,2035,235,371,241,24,34.9,134,387,120,183,504,140,0.6,3,20520.0
298,44.53476288,-88.07725997,23611,9,20,0,0,4,7,10,6,41,6,8,Green Bay,WI,Brown County,20502,2047,215,102,85,28,46.1,45,652,157,129,580,279,1.9,4,
299,43.39391989,-88.18457004,23507,10,16,2,0,5,4,6,3,1,1,4,West Bend,WI,Washington County,420107,3001,79,136,55,58,55.2,146,622,78,116,463,70,0.4,2,
300,44.3004716,-88.41900764,21603,6,16,2,23,14,6,37,8,16,15,2,Appleton,WI,Outagamie County,12505,3007,79,147,152,92,38.6,87,598,249,47,715,281,0.7,2,
301,41.15891845,-87.8473378,33051,6,23,1,1,7,4,15,0,1,2,5,Bradley,IL,Kankakee County,10702,1007,548,290,198,0,33.7,103,528,258,214,423,234,8.2,12,
302,46.5531495,-87.47197682,33863,8,15,1,8,9,3,8,2,7,2,2,Marquette,MI,Marquette County,2901,2054,176,138,134,62,38.0,81,328,59,100,434,59,,,8195.0
303,42.94601187,-85.07771263,31871,6,8,4,0,2,3,4,0,0,0,4,Ionia,MI,Ionia County,31900,4017,263,350,220,20,42.3,104,420,72,142,599,214,4.5,8,998.0
304,44.0763568,-87.71135032,11817,10,16,0,8,11,9,5,1,4,1,3,Manitowoc,WI,Manitowoc County,600,5019,299,171,187,12,50.1,79,620,135,156,630,249,0.7,2,
305,43.7548105,-87.75377958,21668,8,8,0,1,4,6,13,5,2,0,6,Sheboygan,WI,Sheboygan County,400,2022,399,256,167,65,44.5,149,389,124,47,364,58,2.9,6,
306,42.4802319,-82.98892635,37327,13,6,3,14,2,9,21,7,11,0,5,Warren,MI,Macomb County,262700,2001,233,271,240,42,38.5,104,842,221,203,979,86,1.8,6,132636.0
307,41.15922717,-81.4048665,27359,9,25,2,1,4,4,9,8,5,2,6,Stow,OH,Summit County,530501,3004,400,575,157,22,43.6,205,737,309,152,757,367,7.1,17,18603.0
308,41.46135672,-81.99171826,25661,3,2,0,0,1,3,8,20,1,2,5,Avon,OH,Lorain County,13101,1028,146,237,167,170,53.2,30,521,24,17,711,58,4.2,8,4937.0
309,41.67498289,-81.30949983,30856,6,24,0,3,1,4,12,24,6,0,6,Mentor,OH,Lake County,203500,4004,269,305,378,118,48.5,0,98,58,0,216,103,6.3,12,5766.0
310,43.47021728,-85.98143327,18204,5,7,0,0,0,3,2,0,0,0,2,Fremont,MI,Newaygo County,970400,1046,202,183,131,12,45.4,122,592,164,213,747,247,26.9,32,2663.0
311,42.91082469,-85.6291721,31659,5,1,3,0,1,2,9,15,2,6,9,Grand Rapids,MI,Kent County,4600,1000,560,174,182,0,35.6,81,114,9,53,116,60,4.4,9,12235.0
312,43.03387798,-85.62811146,31279,7,21,2,1,1,8,10,2,4,2,3,Grand Rapids,MI,Kent County,11200,3002,395,318,172,0,37.8,53,832,95,119,824,154,1.0,4,6140.0
313,41.98505747,-88.71222881,20733,1,6,3,18,6,1,13,2,1,2,6,Sycamore,IL,Dekalb County,500,2042,263,305,305,47,36.4,9,415,125,37,340,237,6.5,12,
314,41.17600805,-85.08963169,0,7,21,0,15,14,8,13,1,3,18,10,Fort Wayne,IN,Allen County,10813,1016,312,269,47,0,32.8,83,473,125,130,452,143,4.6,9,22767.0
315,43.82590749,-83.00502043,13939,5,9,0,0,1,6,1,2,2,0,4,Bad Axe,MI,Huron County,951000,1005,289,122,60,0,51.0,44,530,118,79,679,253,63.1,1,1920.0
316,42.29456555,-85.23587739,36306,3,4,5,47,1,2,3,1,5,1,6,Battle Creek,MI,Calhoun County,1500,1012,79,144,239,35,34.0,136,488,79,98,533,135,2.1,4,12932.0
317,41.10274641,-81.38457465,31443,6,9,0,0,4,3,5,1,4,0,4,Kent,OH,Portage County,601703,1024,239,388,175,0,41.1,10,388,109,34,341,257,0.5,3,5779.0
318,41.41991564,-82.21215148,27738,12,25,0,0,0,8,8,4,4,1,2,Lorain,OH,Lorain County,97202,2031,285,460,392,39,34.3,89,314,7,99,380,15,0.6,3,23321.0
319,40.04006979,-86.16279796,0,3,2,0,0,1,3,2,0,1,3,5,Westfield,IN,Hamilton County,110406,2002,41,108,110,7,28.9,78,381,99,49,407,242,1.5,4,4961.0
321,41.35651922,-81.68228138,0,8,18,1,0,0,6,5,0,2,4,6,Seven Hills,OH,Cuyahoga County,182106,2001,99,177,123,16,59.4,90,371,209,204,333,343,2.2,6,215.0
323,41.23620107,-81.82172665,0,7,29,8,34,1,7,7,1,1,0,1,Brunswick,OH,Medina County,416000,3004,160,153,160,15,36.3,176,742,196,162,576,173,3.2,9,25464.0
324,42.66846314,-84.54094176,43648,20,34,2,8,10,12,27,7,7,1,4,Lansing,MI,Ingham County,5304,1007,126,155,76,11,36.4,73,668,172,137,469,243,0.4,2,19315.0
325,40.84606978,-81.44248996,0,9,56,0,9,22,6,38,37,4,1,9,Canton,OH,Stark County,711322,2018,403,133,105,9,62.0,30,447,179,109,654,209,2.2,8,5364.0
326,44.27438681,-84.27483796,0,3,1,0,0,0,1,6,6,0,0,4,West Branch,MI,Ogemaw County,950200,3037,186,192,144,30,45.8,81,593,221,112,406,329,3.0,8,12492.0
