name,address,latitude,longitude,county,grocery stores 1 mile,food outlets 1 mile,tourist destinations 1 mile,hotels 1 mile,educational institutions 1 mile,hospitals 1 mile,airports 1 mile,residential housing density 1 mile,commercial housing density 1 mile,fuel stations & car wash 1 mile,apparels 1 mile,height restrictor 1 mile,border zone,public transportation 1 mile,competitor_rating,meijer_rating,meijer_feedback_useful,meijer_sentiment_score,meijer_total_review_count,meijer_positive_sentiment_count,meijer_negative_sentiment_count
7-Eleven,"15270 E 14 Mile Rd, Fraser, MI 48026, United States",42.5380147,-82.9691852,Macomb,0,7,0,0,1,0,0,1,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"35931 26 Mile Rd, Lenox, MI 48048, United States",42.7206814,-82.7495758,Macomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"11 S Cass Lake Rd, Waterford Twp, MI 48328, United States",42.6389813,-83.3549594,Oakland,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"33800 23 Mile Rd, Chesterfield Township, MI 48047, United States",42.6752751,-82.7696231,Macomb,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"1795 Scott Lake Rd, Waterford Twp, MI 48328, United States",42.6651667,-83.3474847,Oakland,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"52951 Gratiot Ave, Chesterfield Township, MI 48051, United States",42.688684,-82.8228681,Macomb,0,4,0,1,0,0,0,34,3,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"110 W Commerce Rd, Commerce Charter Twp, MI 48382, United States",42.5916428,-83.4816712,Oakland,0,2,0,0,1,0,2,1,0,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"1009 Crescent Lake Rd, Waterford Twp, MI 48327, United States",42.6534273,-83.3865026,Oakland,0,7,0,0,0,0,0,0,1,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"2141 N Pontiac Trail, Commerce Charter Twp, MI 48390, United States",42.5508029,-83.4597005,Oakland,0,2,1,0,1,0,0,0,1,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"45100 N Gratiot Ave, Macomb Township, MI 48042, United States",42.6307838,-82.8596946,Macomb,0,3,0,0,0,0,6,0,3,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"8834 Telegraph Rd, Redford Charter Twp, MI 48239, United States",42.3574614,-83.2741332,Wayne,0,6,0,0,0,0,0,6,14,0,0,0,0,0,4.04,2.42,143.0,-30.0,100.0,22.0,52.0
7-Eleven,"35350 Jefferson Ave, Harrison Twp, MI 48045, United States",42.5540373,-82.8535032,Macomb,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"16570 24 Mile Rd, Macomb Township, MI 48042, United States",42.6858222,-82.9589197,Macomb,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"5979 26 Mile Rd, Washington, MI 48094, United States",42.7137221,-83.054557,Macomb,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"4100 Haggerty Rd, Commerce Charter Twp, MI 48390, United States",42.5763166,-83.440802,Oakland,0,6,0,0,0,0,0,0,3,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"5020 23 Mile Rd, Shelby Twp, MI 48316, United States",42.6685055,-83.0625114,Macomb,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"15159 22 Mile Rd, Shelby Twp, MI 48315, United States",42.6571694,-82.9750588,Macomb,0,1,0,0,0,0,0,153,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"4705 24 Mile Rd, Shelby Twp, MI 48316, United States",42.6835747,-83.0667844,Macomb,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"34951 Garfield Rd, Fraser, MI 48026, United States",42.5530072,-82.9508599,Macomb,0,4,0,0,0,0,0,0,5,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"49060 Dequindre Rd, Shelby Twp, MI 48317, United States",42.6538275,-83.0918735,Macomb,0,0,0,0,0,0,0,24,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"39725 Van Dyke Ave, Sterling Heights, MI 48313, United States",42.5853485,-83.0314379,Macomb,0,1,0,0,0,0,0,14,1,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"3909 E 14 Mile Rd, Sterling Heights, MI 48310, United States",42.5359375,-83.0691377,Macomb,0,5,0,0,1,1,0,37,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"55015 Van Dyke Ave, Shelby Twp, MI 48316, United States",42.6988372,-83.0351968,Macomb,0,3,0,0,0,0,0,23,0,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"4191 15 Mile Rd, Sterling Heights, MI 48310, United States",42.5506414,-83.0672197,Macomb,0,7,0,0,0,1,0,76,1,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"43030 Schoenherr Rd, Sterling Heights, MI 48313, United States",42.6109497,-82.9914393,Macomb,0,6,0,0,0,0,0,8,1,0,0,0,0,0,4.02,2.02,119.0,-21.0,70.0,11.0,32.0
7-Eleven,"35355 Grand River Ave, Farmington, MI 48335, United States",42.468813,-83.3957246,Oakland,0,6,1,0,1,0,0,217,19,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
7-Eleven,"805 E 9 Mile Rd, Ferndale, MI 48220, United States",42.4612576,-83.1228059,Oakland,0,43,0,0,2,0,0,23,34,0,0,0,0,0,3.72,2.35,70.0,-18.0,80.0,17.0,35.0
